"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","IntStrength","IntType","NatPam","CoeffReg"
1808,"f12.0",0.00639028803259813,0.124577223520968,-0.00639028803259813,0.128007333931809,-1,-0.237781070068499,0.250561646133695,0.97,1,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
1808,"f2.0",-0.00266199201735455,0.0779478263110709,-0.0266199201735455,1.72207581641764,0.1,-0.155439731587053,0.150115747552344,0.96,0.23,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
2980,"f1.0",-0.00905938659182593,0.0633616659907236,-0.0905938659182592,1.8263185537465,0.1,-0.133248251933644,0.115129478749992,0.94,0.35,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
2980,"f12.0",-0.000301278517565116,0.107721749975665,0.000301278517565116,0.0987198039734402,-1,-0.211435908469869,0.210833351434738,0.91,1,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
2980,"f2.0",-0.00163445700143444,0.0647925151540439,-0.0163445700143444,1.27618191158309,0.1,-0.12862778670336,0.125358872700492,0.93,0.35,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
20,"f1.0",0.0481205175950178,2.2671244859695,0.481205175950178,4.39819380171606,0.1,-4.3954434749052,4.49168451009523,1,0,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
20,"f12.0",0.113849394829696,3.37429268651928,-0.569246974148481,13730.7961881602,-0.2,-6.49976427074808,6.72746306040748,1,0,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
20,"f2.0",0.217923786980559,2.19738175380683,2.17923786980559,5.9250537857849,0.1,-4.08894445048084,4.52479202444195,1,0,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
33,"f1.0",0.242182233544864,1.15135327328514,2.42182233544864,6.12131326712481,0.1,-2.01447018209402,2.49883464918375,1,0,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
33,"f12.0",-0.163744095095879,1.34011298710509,0.818720475479397,81.0767952170461,-0.2,-2.79036554982185,2.46287735963009,1,0.01,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
33,"f2.0",0.21450094089931,1.16580880239779,2.1450094089931,4.02326368675207,0.1,-2.07048431180036,2.49948619359898,1,0,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
54,"f1.0",0.116770003032785,0.664673912908779,1.16770003032785,3.33104721219523,0.1,-1.18599086626842,1.41953087233399,0.98,0.03,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
54,"f12.0",-0.11608341592655,0.943634681358189,0.580417079632752,2418.71188536659,-0.2,-1.9656073913886,1.7334405595355,0.98,0.02,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
54,"f2.0",0.0859985048871697,0.730997906642929,0.859985048871697,2.52848155906604,0.1,-1.34675739213297,1.51875440190731,0.99,0.02,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
90,"f1.0",0.00647411491118164,0.420954260215019,0.0647411491118164,93.7373405051866,0.1,-0.818596235110256,0.831544464932619,0.98,0.02,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
90,"f12.0",0.0219425735740717,0.542643828902562,-0.109712867870359,1131.04626244769,-0.2,-1.04163933107495,1.08552447822309,0.98,0.04,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
90,"f2.0",0.0245409949006531,0.382813010703196,0.245409949006531,3.02580057906473,0.1,-0.725772506077611,0.774854495878917,1,0,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
148,"f1.0",0.0372937604231189,0.36407557498473,0.372937604231189,4.19378767982159,0.1,-0.676294366546953,0.750881887393191,0.94,0.1,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
148,"f12.0",-0.0407053355713491,0.484344851491783,0.203526677856745,4.3030904509293,-0.2,-0.990021244495244,0.908610573352546,0.96,0.11,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
148,"f2.0",0.00525391746572011,0.336232294646305,0.0525391746572011,3.99772763885359,0.1,-0.653761380041037,0.664269214972477,0.98,0.07,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
244,"f1.0",0.0300595985027652,0.261935358270419,0.300595985027652,9.33817607096192,0.1,-0.483333703707256,0.543452900712787,0.93,0.09,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
244,"f12.0",-0.0265774220915496,0.382502445066404,0.132887110457748,3.63263476844023,-0.2,-0.776282214421702,0.723127370238602,0.93,0.14,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
244,"f2.0",0.0384683381132369,0.277150560441419,0.384683381132369,2.97654894147414,0.1,-0.504746760351944,0.581683436578418,0.93,0.09,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
403,"f1.0",0.0153697658822639,0.190909538886065,0.153697658822639,2.99596351878274,0.1,-0.358812930334423,0.389552462098951,0.92,0.07,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
403,"f12.0",0.0070191159541196,0.25414246972362,-0.035095579770598,2.06546892375559,-0.2,-0.491100124704176,0.505138356612416,0.97,0.11,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
403,"f2.0",0.00709664723161549,0.167671924344614,0.0709664723161549,13.0787034172099,0.1,-0.321540324483828,0.335733618947059,0.97,0.08,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
665,"f1.0",-0.00310905991670942,0.145273650434862,-0.0310905991670942,3.40181227369274,0.1,-0.28784541476904,0.281627294935621,0.95,0.1,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
665,"f12.0",0.00969826319245972,0.21344319852961,-0.0484913159622986,3.36820930550024,-0.2,-0.408650405925576,0.428046932310496,0.94,0.17,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
665,"f2.0",0.00573530736606632,0.13515673072884,0.0573530736606632,15.5151367383381,0.1,-0.259171884862461,0.270642499594593,0.95,0.09,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
1096,"f1.0",0.00608087171151713,0.112643037545793,0.0608087171151713,4.30006654699155,0.1,-0.214699481878237,0.226861225301271,0.93,0.14,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
1096,"f12.0",-0.00363748368176034,0.146823401307496,0.0181874184088017,1.95367615593388,-0.2,-0.291411350244453,0.284136382880933,0.98,0.25,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
1096,"f2.0",0.00472804040985578,0.103986730375377,0.0472804040985578,2.6528112387421,0.1,-0.199085951125883,0.208542031945595,0.95,0.15,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
1808,"f1.0",0.0104367052450801,0.0935929868228861,0.104367052450801,3.38914760374625,0.1,-0.173005548927777,0.193878959417937,0.94,0.25,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
1808,"f12.0",-0.00102014509591605,0.130005539474242,0.00510072547958024,2.43866764119292,-0.2,-0.25583100246543,0.253790712273598,0.93,0.38,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
1808,"f2.0",0.00302136512012047,0.0802564261982593,0.0302136512012047,2.728834781206,0.1,-0.154281230228468,0.160323960468709,0.97,0.23,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
2980,"f1.0",-0.00345108550714025,0.0676753335161289,-0.0345108550714025,1.3330655624899,0.1,-0.136094739198753,0.129192568184472,0.95,0.33,1,100,"LL","Scenario4","Weak","Negative interaction","f1.0","alpha0"
2980,"f12.0",0.0101449136451687,0.088651581889903,-0.0507245682258436,0.841558631876765,-0.2,-0.163612186859041,0.183902014149379,0.95,0.51,1,100,"LL","Scenario4","Weak","Negative interaction","f12.0","beta0"
2980,"f2.0",-0.00294511680544243,0.0592135297188472,-0.0294511680544242,1.16075929526172,0.1,-0.119003635054383,0.113113401443498,0.97,0.28,1,100,"LL","Scenario4","Weak","Negative interaction","f2.0","gamma0"
20,"f1.0",0.67207607443837,2.16742818024606,3.36038037219185,4.35226175568048,0.2,-3.5760831588439,4.92023530772065,1,0,1,99,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
20,"f12.0",-0.882898600779742,3.03019096111264,1.47149766796624,6574.56613044922,-0.6,-6.82207288456052,5.05627568300103,1,0.0101010101010101,1,99,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
20,"f2.0",0.742094462370836,2.21613164975645,3.71047231185418,5.11655663354381,0.2,-3.6015235711518,5.08571249589347,1,0,1,99,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
33,"f1.0",0.174042777378183,1.34857936751435,0.870213886890916,2.19720432640831,0.2,-2.46917278294995,2.81725833770631,0.95,0.01,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
33,"f12.0",-0.0809793575388125,1.56770413323761,0.134965595898021,2.67178549347799,-0.6,-3.15367945868452,2.9917207436069,0.95,0.08,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
33,"f2.0",0.127983748407805,1.29248747984763,0.639918742039027,6.438764493666,0.2,-2.40529171209354,2.66125920890915,0.98,0,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
54,"f1.0",0.00282753017439197,0.61371992137057,0.0141376508719598,4.17165370865381,0.2,-1.20006351571193,1.20571857606071,0.96,0.02,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
54,"f12.0",0.00243770715152097,0.843317135398415,-0.00406284525253495,2.07395108699402,-0.6,-1.65046387822937,1.65533929253241,0.96,0.06,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
54,"f2.0",0.0232565555532521,0.574681867104183,0.11628277776626,8.67920617621451,0.2,-1.10311990397095,1.14963301507745,0.98,0,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
90,"f1.0",0.113965820738625,0.492291625951729,0.569829103693126,3.34566233658767,0.2,-0.850925766126763,1.07885740760401,0.96,0.02,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
90,"f12.0",-0.0660104016153475,0.622044043039272,0.110017336025579,258959.315030226,-0.6,-1.28521672597232,1.15319592274162,0.96,0.16,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
90,"f2.0",0.0979837210341018,0.499873171838787,0.489918605170509,2.5142229839289,0.2,-0.881767695769921,1.07773513783812,0.96,0.04,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
148,"f1.0",0.0159451056037944,0.283436241160282,0.0797255280189722,3.42481982556463,0.2,-0.539589927070358,0.571480138277947,0.99,0.05,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
148,"f12.0",-0.0198759252330791,0.427028118024986,0.0331265420551318,1.45990159979257,-0.6,-0.856851036562052,0.817099186095893,0.98,0.32,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
148,"f2.0",0.017580143438913,0.307170443238746,0.0879007171945649,4.8991907611831,0.2,-0.584473925309029,0.619634212186855,0.98,0.07,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
244,"f1.0",0.0198389283154646,0.197702376504231,0.099194641577323,2.06533213264785,0.2,-0.367657729632827,0.407335586263756,0.97,0.07,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
244,"f12.0",-0.0190037915605115,0.35800785288186,0.0316729859341859,0.943425117938369,-0.6,-0.720699183208957,0.682691600087934,0.94,0.47,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
244,"f2.0",0.0104098687606357,0.245504842710432,0.0520493438031783,3.77490888910985,0.2,-0.470779622951811,0.491599360473083,0.94,0.15,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
403,"f1.0",-0.00721797041851333,0.199504008851822,-0.0360898520925666,1.71756893726284,0.2,-0.398245827768084,0.383809886931058,0.92,0.17,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
403,"f12.0",0.0167783253144165,0.263215125262278,-0.0279638755240275,0.747752622225899,-0.6,-0.499123320199648,0.532679970828481,0.95,0.62,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
403,"f2.0",-0.0139895543729233,0.172970304799307,-0.0699477718646167,1.72440763262337,0.2,-0.353011351779564,0.325032243033718,0.96,0.11,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
665,"f1.0",-0.0100968708151662,0.140522693369147,-0.0504843540758309,3.23471618182929,0.2,-0.285521349818693,0.265327608188361,0.97,0.27,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
665,"f12.0",0.0169246046347077,0.213312035873759,-0.0282076743911795,0.454815795507369,-0.6,-0.40116698567786,0.435016194947275,0.96,0.8,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
665,"f2.0",-0.0131932437558652,0.13429282881231,-0.0659662187793259,12.0764995488544,0.2,-0.276407188227992,0.250020700716262,0.95,0.25,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
1096,"f1.0",0.00549942381763153,0.0995699232708273,0.0274971190881576,1.02842974258337,0.2,-0.18965762579319,0.200656473428453,0.99,0.5,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
1096,"f12.0",-0.0288079960375239,0.149494246459101,0.0480133267292065,0.269171490921671,-0.6,-0.321816719097361,0.264200727022314,0.97,0.98,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
1096,"f2.0",0.00893667735837093,0.105316706439013,0.0446833867918547,0.876757086208198,0.2,-0.197484067262094,0.215357421978836,0.98,0.47,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
1808,"f1.0",-0.00984881110302049,0.080013962869054,-0.0492440555151024,0.895442881502781,0.2,-0.166676178326366,0.146978556120325,0.97,0.56,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
1808,"f12.0",0.0195816046329173,0.126925262090119,-0.0326360077215288,0.22059258633085,-0.6,-0.229191909063716,0.26835511832955,0.94,1,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
1808,"f2.0",-0.00872452337696503,0.0824945583300061,-0.0436226168848251,0.602656191444409,0.2,-0.170413857703777,0.152964810949847,0.95,0.64,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
2980,"f1.0",0.00845366294530967,0.0636051640141741,0.0422683147265484,0.358162841923928,0.2,-0.116212458522472,0.133119784413091,0.95,0.91,1,100,"LL","Scenario6","Moderate","Negative interaction","f1.0","alpha0"
2980,"f12.0",-0.00878358522362097,0.0984448739154709,0.014639308706035,0.160280005208803,-0.6,-0.201735538097944,0.184168367650702,0.94,1,1,100,"LL","Scenario6","Moderate","Negative interaction","f12.0","beta0"
2980,"f2.0",0.00691237390421018,0.0722651363682841,0.0345618695210509,0.381218244997887,0.2,-0.134727293377627,0.148552041186047,0.92,0.85,1,100,"LL","Scenario6","Moderate","Negative interaction","f2.0","gamma0"
