"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","IntStrength","IntType","NatPam","CoeffReg"
665,"f12.0",-0.0310392013851333,0.210036252184952,-0.0310392013851333,0.233968290116021,1,-0.442710255667638,0.380631852897372,0.95,1,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
665,"f2.0",0.0229910669964135,0.145622781161313,-0.0574776674910339,1.69995497557286,-0.4,-0.262429584079761,0.308411718072588,0.94,0.75,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
1096,"f1.0",-0.00530526592963489,0.112748966515545,0.0132631648240872,0.308075010737234,-0.4,-0.226293240300104,0.215682708440834,0.97,0.95,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
1096,"f12.0",0.0347999860555118,0.169432047268183,0.0347999860555118,0.167515014997262,1,-0.297286826590126,0.36688679870115,0.96,1,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
1096,"f2.0",-0.018532004496975,0.117217253657232,0.0463300112424375,0.298372208404026,-0.4,-0.24827782166515,0.2112138126712,0.97,0.94,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
1808,"f1.0",0.00193240830222576,0.084091617680563,-0.0048310207555644,0.233469960920278,-0.4,-0.162887162351678,0.166751978956129,0.95,1,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
1808,"f12.0",-0.00614262031414327,0.122422267618769,-0.00614262031414327,0.133037177730774,1,-0.24609026484693,0.233805024218644,0.97,1,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
1808,"f2.0",0.00252741555525191,0.0850689536667774,-0.00631853888812978,0.235593040177487,-0.4,-0.164207733631632,0.169262564742136,0.94,0.99,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
2980,"f1.0",-1.50707781371178e-08,0.0692992286277134,3.76769453439046e-08,0.178519930170274,-0.4,-0.135826503181096,0.13582647303954,0.95,1,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
2980,"f12.0",0.00568144919725495,0.114816401395593,0.00568144919725495,0.102186513765058,1,-0.219358697538107,0.230721595932617,0.93,1,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
2980,"f2.0",0.00312230691758421,0.0782408225609826,-0.00780576729396052,0.180537568895795,-0.4,-0.150229705301942,0.15647431913711,0.93,1,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
20,"f1.0",0.109395419840289,1.95780229472107,-0.273488549600723,3.57844968743874,-0.4,-3.72789707781302,3.94668791749359,1,0.01,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
20,"f12.0",-0.194848080474991,4.05662484495264,-0.974240402374956,27631.0523643164,0.2,-8.14583277658217,7.75613661563219,0.99,0,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
20,"f2.0",0.0964827822807118,2.25761253482661,-0.241206955701779,4.08274302844829,-0.4,-4.32843778597945,4.52140335054087,1,0,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
33,"f1.0",-0.0766340055548632,0.794026456879432,0.191585013887158,2.90267514189903,-0.4,-1.63292586103855,1.47965784992882,1,0.01,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
33,"f12.0",0.266857908974352,1.37361900683593,1.33428954487176,203.351044961345,0.2,-2.42543534442407,2.95915116237277,1,0,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
33,"f2.0",-0.109311201940073,0.979128332659357,0.273278004850183,19.9474147062063,-0.4,-2.02840273395241,1.80978033007227,1,0.08,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
