"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","order","CoefReg"
90,"f1.0",0.0384910649909286,0.372253317391047,-0.0962276624773214,10.3009553429123,-0.4,-0.691125437095523,0.76810756707738,0.97,0.2,1,100,"LL","1 Slope","1st","Intercept"
90,"f12.0",-0.0816775199718922,0.69716003958848,0.136129199953154,1.66493490652916,-0.6,-1.44811119756531,1.28475615762153,1,0.08,1,100,"LL","1 Slope","2nd","Intercept"
90,"f12.1",0.118467575871506,0.572488185045222,0.148084469839383,0.774303982346104,0.8,-1.00360926681713,1.24054441856014,0.95,0.43,1,100,"LL","1 Slope","2nd","Slope"
90,"f2.0",0.00444267163965896,0.324284483371166,-0.0111066790991474,2.13130744644958,-0.4,-0.631154915767826,0.640040259047144,0.97,0.18,1,100,"LL","1 Slope","1st","Intercept"
148,"f1.0",0.0670704048673691,0.276088887121913,-0.167676012168423,1.78900547922642,-0.4,-0.474063813891581,0.608204623626319,0.95,0.21,1,100,"LL","1 Slope","1st","Intercept"
148,"f12.0",-0.147643420623897,0.59575305922814,0.246072367706494,20.3054184119783,-0.6,-1.31531941671105,1.02003257546326,0.91,0.25,1,100,"LL","1 Slope","2nd","Intercept"
148,"f12.1",0.00900257002574893,0.376212831986148,0.0112532125321862,2.45102392175306,0.8,-0.728374580667101,0.746379720718599,0.95,0.63,1,100,"LL","1 Slope","2nd","Slope"
148,"f2.0",0.0629414439084521,0.247451379934474,-0.15735360977113,2.52838097865569,-0.4,-0.422063260763116,0.547946148580021,0.96,0.24,1,100,"LL","1 Slope","1st","Intercept"
244,"f1.0",-0.000918269600279056,0.202255881804183,0.00229567400069764,1.14224948104177,-0.4,-0.397339797936478,0.39550325873592,0.94,0.49,1,100,"LL","1 Slope","1st","Intercept"
244,"f12.0",-0.0340695190331121,0.369902462199566,0.0567825317218534,1.63753508605774,-0.6,-0.759078344944261,0.690939306878037,0.97,0.37,1,100,"LL","1 Slope","2nd","Intercept"
244,"f12.1",0.0303808856279336,0.303257496548127,0.037976107034917,0.48137542729018,0.8,-0.564003807606396,0.624765578862263,0.94,0.86,1,100,"LL","1 Slope","2nd","Slope"
244,"f2.0",0.0145778629250879,0.212942617908263,-0.0364446573127198,1.47426735163653,-0.4,-0.402789668175108,0.431945394025284,0.93,0.46,1,100,"LL","1 Slope","1st","Intercept"
403,"f1.0",0.0268255359105887,0.144346310306412,-0.0670638397764717,0.958666066479113,-0.4,-0.256093232289979,0.309744304111156,0.97,0.7,1,100,"LL","1 Slope","1st","Intercept"
403,"f12.0",-0.113798369266776,0.313458907726616,0.18966394877796,0.668296943194423,-0.6,-0.728177828410943,0.500581089877392,0.95,0.67,1,100,"LL","1 Slope","2nd","Intercept"
403,"f12.1",0.0661742435033038,0.229930224134618,0.0827178043791297,0.27097975134264,0.8,-0.384488995800547,0.516837482807155,0.95,0.99,1,100,"LL","1 Slope","2nd","Slope"
403,"f2.0",0.012136718812434,0.138074994714249,-0.0303417970310851,0.593054972446212,-0.4,-0.258490270827493,0.282763708452361,0.97,0.75,1,100,"LL","1 Slope","1st","Intercept"
665,"f1.0",0.000253752808892939,0.12376100125437,-0.000634382022232345,0.354320493020188,-0.4,-0.242317809649672,0.242825315267458,0.93,0.88,1,100,"LL","1 Slope","1st","Intercept"
665,"f12.0",0.0147605436244182,0.22880568909138,-0.0246009060406969,0.468546398916668,-0.6,-0.433698606994686,0.463219694243523,0.94,0.72,1,100,"LL","1 Slope","2nd","Intercept"
665,"f12.1",-0.00753721248579573,0.158649779303266,-0.00942151560724466,0.209256835094228,0.8,-0.318490779920197,0.303416354948606,0.95,1,1,100,"LL","1 Slope","2nd","Slope"
665,"f2.0",-0.00872885379118451,0.123186052411246,0.0218221344779613,0.342051445196794,-0.4,-0.250173516517227,0.232715808934858,0.94,0.9,1,100,"LL","1 Slope","1st","Intercept"
1096,"f1.0",-0.00782307304521422,0.0945127776090481,0.0195576826130355,0.245077822660388,-0.4,-0.193068117158948,0.17742197106852,0.97,0.99,1,100,"LL","1 Slope","1st","Intercept"
1096,"f12.0",-0.00505131578084328,0.179446527211065,0.00841885963473879,0.328053097208595,-0.6,-0.356766509114531,0.346663877552845,0.94,0.92,1,100,"LL","1 Slope","2nd","Intercept"
1096,"f12.1",-0.00728804687445741,0.123064540579379,-0.00911005859307176,0.157137764115004,0.8,-0.248494546410039,0.233918452661125,0.95,1,1,100,"LL","1 Slope","2nd","Slope"
1096,"f2.0",0.00804761586696969,0.101350783557492,-0.0201190396674242,0.262714614123511,-0.4,-0.190599919905716,0.206695151639655,0.92,0.94,1,100,"LL","1 Slope","1st","Intercept"
1808,"f1.0",-0.00587339917335802,0.0711190958122707,0.0146834979333951,0.185768088328366,-0.4,-0.145266826965409,0.133520028618693,0.96,1,1,100,"LL","1 Slope","1st","Intercept"
1808,"f12.0",0.0188961913081304,0.121573109262574,-0.0314936521802174,0.245977921080496,-0.6,-0.219387102846514,0.257179485462775,0.98,1,1,100,"LL","1 Slope","2nd","Intercept"
1808,"f12.1",0.00716927146277575,0.0897882241201609,0.00896158932846969,0.11743887456006,0.8,-0.16881564781274,0.183154190738291,0.96,1,1,100,"LL","1 Slope","2nd","Slope"
1808,"f2.0",-0.00847485672110503,0.0761436632313848,0.0211871418027626,0.186007825414175,-0.4,-0.157716436654619,0.140766723212409,0.93,1,1,100,"LL","1 Slope","1st","Intercept"
2980,"f1.0",0.0120461084444901,0.0536721148626201,-0.0301152711112253,0.149426358482821,-0.4,-0.0931512366862452,0.117243453575225,0.98,1,1,100,"LL","1 Slope","1st","Intercept"
2980,"f12.0",-0.0129339792070031,0.0954815888284268,0.0215566320116719,0.178002214235107,-0.6,-0.20007789331072,0.174209934896713,0.97,1,1,100,"LL","1 Slope","2nd","Intercept"
2980,"f12.1",-0.00463091039199539,0.0670081228924826,-0.00578863798999423,0.0962318872661544,0.8,-0.135966831261261,0.126705010477271,0.97,1,1,100,"LL","1 Slope","2nd","Slope"
2980,"f2.0",0.00593914507932898,0.041327387680946,-0.0148478626983224,0.145774843541423,-0.4,-0.0750625347753251,0.0869408249339831,1,1,1,100,"LL","1 Slope","1st","Intercept"
20,"f1.0",0.186689454968301,0.354825473849848,-0.466723637420753,28.034129890775,-0.4,-0.508768473777401,0.882147383714003,0.454545454545455,0.191919191919192,1,99,"PL","1 Slope","1st","Intercept"
20,"f12.0",0.376511629116186,0.701050520985137,-0.62751938186031,3.27338539854819,-0.6,-0.997547392014682,1.75057065024705,0.171717171717172,0.272727272727273,1,99,"PL","1 Slope","2nd","Intercept"
20,"f12.1",-0.439276862087823,0.651409156605954,-0.549096077609779,2.26810592619911,0.8,-1.71603880903549,0.837485084859846,0.202020202020202,0.151515151515152,1,99,"PL","1 Slope","2nd","Slope"
20,"f2.0",0.200446600249404,0.372174644376884,-0.501116500623509,5.04753911147172,-0.4,-0.529015702729289,0.929908903228096,0.343434343434343,0.141414141414141,1,99,"PL","1 Slope","1st","Intercept"
